oD code,Organisation,Registered name,EIN Number,IRS 990 filings link,Address,Year of latest 990 filing,Latest 990 fiscal year end,Trump connections (X = yes),WCF partner (X = yes),Anti-LGBT (X=yes),Anti-abortion (X=yes),Summary
1,Acton Institute for the Study of Religion and Liberty,,38-2926822,https://projects.propublica.org/nonprofits/organizations/382926822,"98 E Fulton St No 101, Grand Rapids, MI 49503",2018,December 2018,,,,,"Founded in 1990 and based in Michigan, this group combines conservative Christianity with right-wing, free-market economics. Its donors include the Koch family and the DeVos family foundations of Trump’s education secretary. It’s been accused of seeking to “undermine, maybe even bring down” Pope Francis. Its branch in Italy supported the (as yet unsuccessful) application of a group called Dignitatis Humanae Institute – of which Steve Bannon is a trustee – to set up a “gladiator school” for European culture warriors outside Rome."
2,Alliance Defending Freedom,,54-1660459,https://projects.propublica.org/nonprofits/organizations/541660459,"15100 North 90th Street, Scottsdale, AZ 85260",2018,June 2018,,X,X,X,"Founded in 1990 and headquartered in a small town in Arizona, this group wages war on sexual and reproductive rights through the courts. It has been called an anti-LGBT “hate group” and “one of the most influential groups” driving the Trump administration’s anti-LGBT backlash. Former ADF staffers have held prominent government and White House positions under Trump's administration."
3,American Center for Law and Justice,,54-1586817,https://projects.propublica.org/nonprofits/organizations/541586817,"PO BOX 64429, Virginia Beach, VA 23467",2018,March 2019,X,,,X,"This group was founded in 1990 by US televangelist Pat Robertson to oppose the American Civil Liberties Union. Its European arm has intervened in court cases on issues including same-sex marriage, abortion rights and IVF – it opposes them all. Its chief counsel is Trump's personal lawyer Jay Sekulow. This year, the AP revealed that charities had steered $65 million to Sekulow, his family and their companies."
4,"American Society for the Defense of Tradition, Family, Property ",Foundation for a Christian Civilization,23-7325778,https://projects.propublica.org/nonprofits/organizations/237325778,"PO BOX 787, Rossville, KS 665330787",2018,June 2019,,X,X,X,"This is the US branch of an ultra-conservative, anti-communist, Catholic network founded in Brazil in 1960. It opposes “homosexual practice” and has called the COVID-19 pandemic a “monumental social engineering and ideological effort”. It claims that Trump's impeachment battle was an attack on “a Christian vision of America”. Its Student Action wing claims to reach 719 college campuses with anti-abortion and anti-LGBT material."
5,Bethany Christian Services,,38-1405282 & 38-2822017,https://projects.propublica.org/nonprofits/organizations/381405282 & https://projects.propublica.org/nonprofits/organizations/382822017,"901 Eastern Ave NE, Grand Rapids, MI 49503",2018,December 2018,X,,,X,"Best known in the US for arranging international adoptions and running anti-abortion ‘crisis pregnancy centres’, this group says it has taken temporary custody of some children separated from their families at the US-Mexico border, receiving about $200 per child per day from the Trump administration. It’s refused to place children with LGBT adoptive parents. Its donors include the family foundations of Trump’s education secretary."
6,Billy Graham Evangelistic Association,,45-2588350 & 41-0692230,https://projects.propublica.org/nonprofits/organizations/452588350 & https://projects.propublica.org/nonprofits/organizations/410692230,"1 Billy Graham Parkway, Charlotte, NC 28201",2014,December 2014,X,,X,X,"This group is led by the famous US evangelical preacher’s son, Franklin Graham, who once said Satan is the architect of same-sex marriage and called Islam “evil and very wicked”. He is an outspoken supporter of Trump and said that God was behind the 2016 election. He was in Russia last year meeting Kremlin officials who are under US sanctions, on a trip he said was personally signed off by vice president Michael Pence."
7,Capitol Ministries,,68-0005663,https://projects.propublica.org/nonprofits/organizations/680005663,"PO BOX 222222, Santa Clarita, CA 91322",2018,December 2018,X,,X,X,This group was established in 1996 “to create disciples of Jesus Christ in the political arena throughout the world”. Its founder leads Bible study sessions for Republican lawmakers and Trump cabinet members. He has also defended the Trump administration’s controversial child separation policies on the Mexico border calling them a consequence of immigrants’ “illegal behaviour”. The group’s leaders have called homosexuality “an abomination” and “illegitimate in God’s eyes” and abortion a ‘slippery slope’ to infanticide.
8,Cato Institute,,23-7432162,https://projects.propublica.org/nonprofits/organizations/237432162,"1000 Massachusetts Ave NW, Washington, DC, 200015403 ",2018,December 2019,X,,,X,"Founded in 1977, this libertarian think tank is against abortion and the inclusion of contraception in the US Affordable Care Act. It is active in anti-reproductive rights litigation and in cases opposing anti-discrimination laws, holding religious liberties for corporations above LGBT rights. Board member and former president John Allison met with Trump in 2016 when he was a candidate for treasury secretary. The group’s known funders include the Koch family and a family foundation of Trump’s education secretary Betsy DeVos."
9,Exodus Cry,,26-2317116,https://projects.propublica.org/nonprofits/organizations/262317116,"714 Main St, Grandview, MO 64030",2018,December 2018,,,,,This group was founded in 2008 and is headquartered in California. Its founder has spoken at events organised by the anti-LGBT “hate group” C-Fam (whose staff were included in Trump’s US delegation to the United Nations). It has made films which it has used to lobby parliamentarians for anti-sex work laws. It has also been linked to the International House of Prayer of Kansas City (also in this database) which was featured in the film ‘God Loves Uganda’ about US involvement in anti-LGBT activism in Africa.
10,Family Research Council,,52-1792772,https://projects.propublica.org/nonprofits/organizations/521792772,"801 G Street, Washington, DC 20001",2017,June 2018,X,X,X,X,"This group's stated mission is to “advance faith, family, and freedom in public policy and the culture from a biblical worldview”. It has been described as an anti-LGBT “hate group”. Its president has linked homosexuality to paedophilia, and said the legalisation of same-sex marriage would “break this country [the US] apart”. Its campaign ‘Pray, Vote, Stand’ ahead of the US elections praises Trump’s record on “family and international religious freedom”. It’s also been a partner of the anti-LGBT and anti-abortion World Congress of Families."
