oD code,Organisation,Year,Region,Spending,Notes
1,Acton Institute for the Study of Religion and Liberty,2019,Africa,"$75,846",
2,Alliance Defending Freedom,2019,Africa,"$19,690",
3,American Center for Law and Justice,2019,Africa,$0,
4,"American Society for the Defense of Tradition, Family, Property",2019,Africa,$648,
5,Bethany Christian Services,2019,Africa,"$1,032,885",
6,Billy Graham Evangelistic Association,2019,Africa,,No 990
7,Capitol Ministries,2019,Africa,"$11,288",
8,Cato Institute,2019,Africa,$0,
9,Exodus Cry,2019,Africa,,No Schedule F
10,Family Research Council,2019,Africa,,No Schedule F
11,Family Watch International,2019,Africa,"$21,613",
12,Federalist Society,2019,Africa,$0,
13,Fellowship Foundation,2019,Africa,"$2,033,989",
14,Focus on the Family,2019,Africa,"$5,087",
15,Heartbeat International,2019,Africa,,No 990
16,Home School Legal Defense Association,2019,Africa,,No 990
17,Human Life International,2019,Africa,"$192,667",
18,International House of Prayer,2019,Africa,,No 990
19,International Human Rights Group,2019,Africa,,No 990
20,InterVarsity Christian Fellowship,2019,Africa,,No 990
21,Leadership Institute,2019,Africa,"$5,395",
22,Liberty Counsel,2019,Africa,,No 990
23,LifeSiteNews,2019,Africa,$0,
24,Population Research Institute,2019,Africa,,No 990
25,Religious Freedom Institute,2019,Africa,$0,
26,Summit Ministries,2019,Africa,,No Schedule F
27,The Heritage Foundation,2019,Africa,"$1,850",
28,World Youth Alliance,2019,Africa,"$68,910",
1,Acton Institute for the Study of Religion and Liberty,2019,Asia,"$59,500",
2,Alliance Defending Freedom,2019,Asia,"$598,383",
3,American Center for Law and Justice,2019,Asia,$0,
4,"American Society for the Defense of Tradition, Family, Property",2019,Asia,$0,
5,Bethany Christian Services,2019,Asia,"$20,008",
6,Billy Graham Evangelistic Association,2019,Asia,,No 990
7,Capitol Ministries,2019,Asia,$0,
8,Cato Institute,2019,Asia,"$15,043",
9,Exodus Cry,2019,Asia,,No Schedule F
10,Family Research Council,2019,Asia,,No Schedule F
11,Family Watch International,2019,Asia,$0,
12,Federalist Society,2019,Asia,"$24,166",
13,Fellowship Foundation,2019,Asia,"$291,123",
14,Focus on the Family,2019,Asia,"$184,808",
15,Heartbeat International,2019,Asia,,
16,Home School Legal Defense Association,2019,Asia,,No 990
17,Human Life International,2019,Asia,"$124,741",No 990
18,International House of Prayer,2019,Asia,,No 990
19,International Human Rights Group,2019,Asia,,No 990
20,InterVarsity Christian Fellowship,2019,Asia,,No 990
21,Leadership Institute,2019,Asia,"$58,649",
22,Liberty Counsel,2019,Asia,,No 990
23,LifeSiteNews,2019,Asia,$0,
24,Population Research Institute,2019,Asia,,No 990
25,Religious Freedom Institute,2019,Asia,"$127,600",
26,Summit Ministries,2019,Asia,,No Schedule F
27,The Heritage Foundation,2019,Asia,"$147,020",
